project_id,client_id,project_name,project_type,tech_stack,project_status,priority,start_date,planned_end_date,actual_end_date,budget_original,budget_current,hours_estimated,hours_actual,team_size,complexity_score
PROJECT_000016,CLIENT_000016,E-commerce Site Project 17,E-commerce Site,Java/Spring/Oracle,Discovery,Critical,2024-06-21,2025-04-14,,12672.416442949216,6743.532776480621,130.0502744344177,53.859804866495985,5.99876453789857,9.146109881699102
PROJECT_000017,CLIENT_000017,Data Analytics Platform Project 18,Data Analytics Platform,Python/Django/MySQL,Planning,Critical,2024-10-28,2025-07-23,,14735.556962503411,68594.40686171484,176.2524589682049,311.5382329196424,5.051998082822459,8.027006361866938
PROJECT_000018,CLIENT_000018,Mobile App Project 19,Mobile App,React/Node.js/PostgreSQL,Discovery,Low,2024-02-28,2024-05-03,,-5343.05336370027,-23858.185473900467,-20.869066712285047,53.37887295964073,1.1125122182334313,1.608050299700173
PROJECT_000019,CLIENT_000019,E-commerce Site Project 20,E-commerce Site,React/Node.js/PostgreSQL,Testing,Low,2023-07-16,2024-01-24,,158793.03599366415,177778.89632341973,867.009369256735,1154.7006425345585,3.0963054594864334,4.81125921613102
PROJECT_000020,CLIENT_000020,DevOps Setup Project 21,DevOps Setup,Java/Spring/Oracle,Development,High,2024-07-25,2024-12-25,,7902.580090476444,21830.477114018766,7.868153978001867,19.169624833111612,3.0229219615541636,3.097475814662748
PROJECT_000021,CLIENT_000021,API Development Project 22,API Development,Python/Django/MySQL,Completed,High,2023-11-18,2024-06-12,2024-05-29,6004.1855287715425,4723.963745435609,232.67574347777665,216.83422655137463,2.8615125766314615,3.638653728016867
PROJECT_000022,CLIENT_000022,E-commerce Site Project 23,E-commerce Site,Python/Django/MySQL,Discovery,Critical,2024-03-15,2024-07-31,,87590.21663953848,131166.4785680011,592.4023974741397,672.1228910779763,3.021028737096902,1.8207925281243467
PROJECT_000023,CLIENT_000023,CRM System Project 24,CRM System,Python/Django/MySQL,Deployment,High,2024-06-16,2025-04-13,,5902.960598476355,2359.587303070479,-59.93485952218249,52.76417739699405,7.2620526121453395,8.611259334133324
PROJECT_000024,CLIENT_000024,Mobile App Project 25,Mobile App,React/Node.js/PostgreSQL,Completed,High,2024-07-14,2025-03-21,2025-03-16,21224.62692522099,28855.00979245724,234.26697156143382,213.92021361101195,5.986732129086727,6.91368972212237
PROJECT_000025,CLIENT_000025,Mobile App Project 26,Mobile App,React/Node.js/PostgreSQL,Completed,Low,2025-02-13,2025-09-25,2025-09-12,151498.35834531166,153293.04891084504,875.0079157569509,790.345801605018,6.0983487089257356,5.66031660820561
PROJECT_000026,CLIENT_000026,Web Application Project 27,Web Application,React/Node.js/PostgreSQL,Testing,Critical,2024-08-09,2025-07-18,,17462.34243000417,5486.634076799444,274.51530978104347,-0.9933726315449292,5.036325561761742,8.955324739733179
PROJECT_000027,CLIENT_000027,API Development Project 28,API Development,Python/Django/MySQL,Completed,High,2025-02-26,2025-04-22,2025-06-04,17420.866373596222,-4750.569897518413,98.78143111598263,-36.054890900180126,2.3724876721386354,1.0312941513961429
PROJECT_000028,CLIENT_000028,API Development Project 29,API Development,Python/Django/MySQL,Discovery,High,2024-02-06,2024-09-19,,171936.9268093418,164758.24187563732,1270.6821633552402,1424.130675297846,4.237640212657388,4.995828248032474
PROJECT_000029,CLIENT_000029,DevOps Setup Project 30,DevOps Setup,Java/Spring/Oracle,Development,Critical,2025-03-24,2025-10-19,,17543.05541338123,-6743.523910883567,103.52964570296054,232.89119897352816,3.757382993187032,6.039766276032172
PROJECT_000030,CLIENT_000030,API Development Project 31,API Development,Java/Spring/Oracle,Discovery,Critical,2023-10-15,2024-05-30,,98949.19295553159,93163.72989557536,678.3508849996674,412.18973701235154,5.989004184886756,5.983044774315331
PROJECT_000031,CLIENT_000031,E-commerce Site Project 32,E-commerce Site,Java/Spring/Oracle,Completed,Medium,2025-04-07,2025-10-11,2025-09-19,235812.93674180863,221813.6699879444,1425.8249067386912,1531.7569275189617,4.894649560581015,4.230735274475942
PROJECT_000032,CLIENT_000032,CRM System Project 33,CRM System,Python/Django/MySQL,Discovery,High,2023-11-13,2024-06-25,,267043.80786972167,294552.0796628996,2072.619273977906,1850.0600215326506,3.5804711439741372,5.652628243218283
PROJECT_000033,CLIENT_000033,Web Application Project 34,Web Application,Java/Spring/Oracle,Discovery,Medium,2025-03-15,2025-12-07,,12421.845894883281,47061.77808192854,83.49476612084118,200.3930110199958,4.040250932715703,6.186987905908812
PROJECT_000034,CLIENT_000034,API Development Project 35,API Development,Java/Spring/Oracle,Development,Low,2023-10-29,2024-03-12,,20149.762201057994,-8499.880470579224,77.0448033764736,107.26434522314268,3.8794285652937615,1.995461324590378
PROJECT_000035,CLIENT_000035,Mobile App Project 36,Mobile App,Java/Spring/Oracle,Discovery,Medium,2024-08-24,2025-03-29,,180668.29028453704,178570.9866759717,1350.5025856770183,1479.8171123137743,3.11999742028237,4.951705302597839
PROJECT_000036,CLIENT_000036,Web Application Project 37,Web Application,Python/Django/MySQL,Discovery,Medium,2024-07-02,2025-01-06,,1434.5266896460962,42611.20090376762,212.8487924381242,271.4734660255044,5.098894822969156,4.858671707977644
PROJECT_000037,CLIENT_000037,CRM System Project 38,CRM System,Python/Django/MySQL,Planning,Low,2023-09-08,2024-02-29,,-1891.2589090480078,-25975.998739850518,189.38402812277093,56.70230010942543,3.147437961070115,3.912921548239093
PROJECT_000038,CLIENT_000038,API Development Project 39,API Development,React/Node.js/PostgreSQL,Testing,High,2025-01-10,2025-11-08,,315325.3260539124,298937.81672359,2066.9655269275963,1992.1208033095224,6.7028842409967915,7.7251688848717714
PROJECT_000039,CLIENT_000039,Web Application Project 40,Web Application,Python/Django/MySQL,Completed,Low,2025-03-08,2025-10-03,2025-11-15,-11458.557968654579,2136.4217014525093,234.67967262649807,-134.60433372845736,5.189429371905592,3.9424723873321086
PROJECT_000040,CLIENT_000040,CRM System Project 41,CRM System,Java/Spring/Oracle,Deployment,Low,2023-11-17,2024-04-09,,-4131.885811333792,13681.112024637683,-175.54876823714022,201.46121099089453,4.085949643839555,3.959156111440494
PROJECT_000041,CLIENT_000041,AI/ML Solution Project 42,AI/ML Solution,Python/Django/MySQL,Testing,Critical,2024-03-10,2025-02-04,,27741.81970473264,50714.01498767425,290.9015305269751,64.9705551783523,4.713622734838573,9.369193970471624
PROJECT_000042,CLIENT_000042,CRM System Project 43,CRM System,Python/Django/MySQL,Planning,Critical,2024-02-16,2024-10-10,,288048.041464909,331380.1995378735,1818.359278938161,1555.316452658819,3.1020002065736723,4.9174856909462985
PROJECT_000043,CLIENT_000043,CRM System Project 44,CRM System,Python/Django/MySQL,Deployment,High,2024-04-11,2025-04-10,,52312.24917113372,18658.918109803762,196.35516131119968,389.8725301341132,6.770969719040317,9.970730560926139
PROJECT_000044,CLIENT_000044,Data Analytics Platform Project 45,Data Analytics Platform,React/Node.js/PostgreSQL,Deployment,Critical,2024-02-10,2025-02-02,,85778.03815333483,95403.32420845842,572.1800844597416,434.5955904836955,7.790411155826972,9.895366616608365
PROJECT_000045,CLIENT_000045,AI/ML Solution Project 46,AI/ML Solution,React/Node.js/PostgreSQL,Discovery,Medium,2025-01-15,2025-11-28,,21338.748090582743,52899.042437417986,202.31302975824224,368.62071075050227,4.826728150930217,8.408876211803314
PROJECT_000046,CLIENT_000046,Mobile App Project 47,Mobile App,React/Node.js/PostgreSQL,Planning,Critical,2023-06-23,2024-04-29,,46374.39717576699,49622.04059420207,198.887771103148,351.62235631869976,6.023875162020824,8.576057889408304
PROJECT_000047,CLIENT_000047,DevOps Setup Project 48,DevOps Setup,Python/Django/MySQL,Testing,Medium,2024-08-28,2025-09-22,,-19035.074618564715,24365.95330623643,127.67922343249434,-43.390095264107146,5.938053184884318,9.669480267405824
PROJECT_000048,CLIENT_000048,Data Analytics Platform Project 49,Data Analytics Platform,Python/Django/MySQL,Discovery,High,2025-01-27,2025-12-27,,33005.46497715775,6080.425728150134,308.33336411922846,158.09954834717803,5.250324874288826,8.975477280360714
PROJECT_000049,CLIENT_000049,Mobile App Project 50,Mobile App,Java/Spring/Oracle,Testing,High,2023-07-13,2023-11-17,,97787.44380919216,102660.90802101385,769.5083247740271,551.976310678384,3.966365932536372,2.7877934638781086
PROJECT_000050,CLIENT_000050,CRM System Project 51,CRM System,Python/Django/MySQL,Development,Low,2024-03-23,2025-03-07,,227075.88797037728,224102.75396438345,1558.2997178628948,1373.7977570965695,6.921730718967731,9.057820662235793
PROJECT_000051,CLIENT_000051,API Development Project 52,API Development,Java/Spring/Oracle,Completed,Critical,2024-05-23,2025-04-17,2025-04-16,19733.08567812937,26255.33826117021,190.02254607300318,213.8118625337179,6.7089712202145515,7.8846294057781865
PROJECT_000052,CLIENT_000052,DevOps Setup Project 53,DevOps Setup,Java/Spring/Oracle,Completed,Critical,2023-10-19,2024-04-24,2024-06-05,14286.583185418833,15694.531714662011,29.98120838324172,150.35498226847017,2.899205830568467,3.5005485897710655
PROJECT_000053,CLIENT_000053,API Development Project 54,API Development,React/Node.js/PostgreSQL,Deployment,Low,2025-01-23,2025-10-12,,91961.402694682,97721.94591184301,646.0365264924478,439.3749999097901,3.9594762949145452,6.010685521275738
PROJECT_000054,CLIENT_000054,AI/ML Solution Project 55,AI/ML Solution,Python/Django/MySQL,Deployment,Low,2024-07-31,2024-10-30,,42081.31182995346,12032.691366389558,15.226881820430512,53.89650218100781,4.226181261826063,2.062735984769647
PROJECT_000055,CLIENT_000055,CRM System Project 56,CRM System,Java/Spring/Oracle,Discovery,Low,2023-08-28,2024-03-26,,21001.077815596673,23656.41306026449,18.97669730832071,240.42116074330184,5.25895176005105,5.830272294106809
PROJECT_000056,CLIENT_000056,CRM System Project 57,CRM System,Java/Spring/Oracle,Deployment,Low,2025-01-17,2025-06-14,,20536.151144800722,-8411.927978791871,-71.56417366244467,-20.620256238004046,1.5156576839049234,2.2620700647036505
PROJECT_000057,CLIENT_000057,E-commerce Site Project 58,E-commerce Site,React/Node.js/PostgreSQL,Discovery,Medium,2024-09-29,2025-02-07,,105865.23293980793,132718.1174831267,867.2694030492331,871.6044200935903,2.11195968286181,2.0237441401891285
PROJECT_000058,CLIENT_000058,Mobile App Project 59,Mobile App,Python/Django/MySQL,Testing,Medium,2023-08-31,2024-09-17,,15845.423430599196,21937.124014813722,176.1110278845104,-134.91623494769894,8.146057355392951,10.399721090490775
PROJECT_000059,CLIENT_000059,API Development Project 60,API Development,React/Node.js/PostgreSQL,Deployment,Medium,2024-06-14,2025-03-07,,5210.527736419174,9580.23415878741,46.85029771860047,98.15562774321572,6.880773773446708,7.643822003805466
PROJECT_000060,CLIENT_000060,Data Analytics Platform Project 61,Data Analytics Platform,Java/Spring/Oracle,Deployment,Critical,2025-04-18,2026-05-05,,21414.916183581474,-9810.844142836697,63.13828729911353,48.11046080889169,7.970892680982808,9.7133201494218
PROJECT_000061,CLIENT_000061,E-commerce Site Project 62,E-commerce Site,React/Node.js/PostgreSQL,Completed,High,2024-05-30,2024-11-11,2024-10-24,188506.63658289914,189924.15290382743,1206.6250122254546,829.6908166370724,5.106858479788388,4.513947338902683
PROJECT_000062,CLIENT_000062,API Development Project 63,API Development,Python/Django/MySQL,Completed,Critical,2024-02-17,2024-06-15,2024-06-20,46170.09814688769,50309.46341509591,455.538403818518,555.6908259812667,3.7951832388964184,2.1328106301641823
PROJECT_000063,CLIENT_000063,E-commerce Site Project 64,E-commerce Site,Java/Spring/Oracle,Discovery,Medium,2024-07-03,2024-10-28,,11156.485789387534,2488.7277823359163,111.00942451154822,85.4103199660871,1.6479239180154972,1.978676913961737
PROJECT_000064,CLIENT_000064,DevOps Setup Project 65,DevOps Setup,Java/Spring/Oracle,Completed,Low,2023-09-10,2024-04-04,2024-05-09,30704.3015967243,7296.31062273303,173.783697088415,95.76606484832496,4.058743729530622,5.043717692314851
PROJECT_000065,CLIENT_000065,Web Application Project 66,Web Application,Java/Spring/Oracle,Completed,Critical,2025-04-09,2026-02-21,2026-04-05,207917.48414432062,250784.87742386962,1505.8049586988693,1542.4242662369759,7.035849678325057,9.815490139424538
PROJECT_000066,CLIENT_000066,Mobile App Project 67,Mobile App,Python/Django/MySQL,Planning,Critical,2023-10-21,2024-07-08,,98532.17712685672,109324.83007288998,651.1714372465052,522.0000505947909,4.953584948919991,7.271880700976776
PROJECT_000067,CLIENT_000067,Data Analytics Platform Project 68,Data Analytics Platform,Java/Spring/Oracle,Development,Critical,2024-09-16,2025-07-09,,-339.23108402957587,18886.870728894235,64.1214789947069,68.39361695281364,5.064803838640244,9.044682951289152
PROJECT_000068,CLIENT_000068,Data Analytics Platform Project 69,Data Analytics Platform,React/Node.js/PostgreSQL,Development,Medium,2025-03-12,2025-10-20,,102954.85009903103,107372.90594362744,622.7405501711306,737.6721641016591,5.230739936366747,4.659765907397495
PROJECT_000069,CLIENT_000069,Data Analytics Platform Project 70,Data Analytics Platform,React/Node.js/PostgreSQL,Testing,High,2025-01-13,2025-10-09,,-3249.7656751847608,-11618.948933505675,81.78269692418868,36.34515043580624,4.916673120428324,6.632357124452605
PROJECT_000070,CLIENT_000070,API Development Project 71,API Development,Java/Spring/Oracle,Deployment,Critical,2024-08-18,2025-04-30,,301195.16367580567,311606.3196809755,1927.4547316835135,1777.8834902678848,5.1485726355669845,5.96105687369517
PROJECT_000071,CLIENT_000071,Mobile App Project 72,Mobile App,Python/Django/MySQL,Planning,Critical,2025-02-20,2025-08-14,,7594.589311751399,10963.038307781013,6.603184691086234,25.569598488431588,1.5805053303969763,3.0869133324409948
PROJECT_000072,CLIENT_000072,Web Application Project 73,Web Application,Python/Django/MySQL,Completed,High,2025-01-31,2025-09-21,2025-10-15,31963.235944348442,10287.35166038005,200.8934365572164,286.7598948989324,3.886340567908127,6.019448191039364
PROJECT_000073,CLIENT_000073,DevOps Setup Project 74,DevOps Setup,Java/Spring/Oracle,Deployment,High,2024-02-19,2025-01-23,,4846.750002698199,17757.954092136897,200.63656183413337,9.032481850576197,6.7833761320618,8.59597189499306
PROJECT_000074,CLIENT_000074,AI/ML Solution Project 75,AI/ML Solution,Java/Spring/Oracle,Completed,Low,2025-01-05,2025-05-03,2025-04-29,13271.967907181774,11872.02602240301,-3.2694862062561327,-47.85603495689607,3.079837414524585,1.562573224019937
PROJECT_000075,CLIENT_000075,Web Application Project 76,Web Application,Python/Django/MySQL,Completed,High,2024-04-23,2025-04-23,2025-05-27,25897.63188793537,44788.18363503562,319.21060993467404,318.09230973995597,7.649244615839447,10.039320178586124
PROJECT_000076,CLIENT_000076,AI/ML Solution Project 77,AI/ML Solution,React/Node.js/PostgreSQL,Testing,Medium,2024-11-25,2025-03-02,,-17404.116923617665,-2976.0399894124366,-47.390476541964546,8.479247369581618,3.1293277490785343,2.1176775462461417
PROJECT_000077,CLIENT_000077,Data Analytics Platform Project 78,Data Analytics Platform,Java/Spring/Oracle,Discovery,Low,2023-12-27,2024-08-19,,39021.520317538816,33759.33027628443,76.06031675700099,28.342913048475424,5.103009131500411,6.227223754143519
PROJECT_000078,CLIENT_000078,Mobile App Project 79,Mobile App,Python/Django/MySQL,Development,Medium,2024-05-26,2025-03-29,,304805.4286744788,335871.8527473382,1910.4630874015693,2536.4527142327497,4.674149919861829,9.14874787678902
PROJECT_000079,CLIENT_000079,AI/ML Solution Project 80,AI/ML Solution,React/Node.js/PostgreSQL,Planning,Low,2023-08-31,2023-11-22,,5503.336165272571,8461.312895163474,91.61305428132842,216.75298219087657,1.9592926231700225,0.6508805673483821
PROJECT_000080,CLIENT_000080,Data Analytics Platform Project 81,Data Analytics Platform,React/Node.js/PostgreSQL,Development,High,2024-06-01,2024-11-02,,4993.342615781053,-2092.9273864806455,61.89189985268291,6.698696450168249,4.96927770816347,3.7929022340036678
PROJECT_000081,CLIENT_000081,Web Application Project 82,Web Application,Java/Spring/Oracle,Planning,Critical,2024-06-16,2024-10-09,,57822.97170426365,44518.26190590866,495.08900399587037,309.94808773193313,3.8034097998558973,1.6603240460144186
PROJECT_000082,CLIENT_000082,AI/ML Solution Project 83,AI/ML Solution,React/Node.js/PostgreSQL,Deployment,High,2024-02-10,2024-08-22,,93339.12427098773,96187.80177943007,670.6398029859815,759.3774967739772,4.14381989025415,4.66101519583551
PROJECT_000083,CLIENT_000083,AI/ML Solution Project 84,AI/ML Solution,React/Node.js/PostgreSQL,Development,Medium,2024-08-25,2024-12-30,,53799.89307422453,79107.59171923735,297.7667394498079,296.00921946182046,2.93750361335095,3.0886756871534167
PROJECT_000084,CLIENT_000084,CRM System Project 85,CRM System,React/Node.js/PostgreSQL,Planning,Low,2024-10-15,2025-06-22,,137888.97246278796,156473.46162395485,1029.6455473428405,994.2072292160594,5.738702099853102,7.40905963013752
PROJECT_000085,CLIENT_000085,DevOps Setup Project 86,DevOps Setup,React/Node.js/PostgreSQL,Testing,Low,2025-03-22,2025-05-12,,35122.8697812853,-3615.082146782449,-23.25323673011502,84.16169332120242,1.9253314021673626,1.799737895194947
PROJECT_000086,CLIENT_000086,Web Application Project 87,Web Application,Java/Spring/Oracle,Discovery,High,2024-08-31,2025-05-12,,5994.210682705392,23715.656850092,82.52036362970435,104.77685622698529,5.936687698143756,5.5291391181737275
PROJECT_000087,CLIENT_000087,CRM System Project 88,CRM System,React/Node.js/PostgreSQL,Discovery,Low,2024-03-22,2024-12-16,,16202.418760519562,1881.217570685816,11.26806381690082,-111.87905199487324,4.941985615597811,6.109236926842047
PROJECT_000088,CLIENT_000088,AI/ML Solution Project 89,AI/ML Solution,Python/Django/MySQL,Testing,Critical,2024-06-21,2025-03-28,,207842.74876690257,184563.37859088607,1389.7337814443758,1338.2660262100296,5.845231552734831,8.541012828835171
PROJECT_000089,CLIENT_000089,API Development Project 90,API Development,Java/Spring/Oracle,Deployment,Medium,2024-05-22,2024-07-17,,8195.572320421601,-692.8723672533233,202.3080277676731,-121.44376882467782,2.102070837318314,0.8158235211553357
PROJECT_000090,CLIENT_000090,API Development Project 91,API Development,Python/Django/MySQL,Planning,High,2023-12-11,2024-05-15,,44866.15147671502,73752.23055605506,436.1977591349093,461.3082662150269,3.081429168217941,3.781703921074108
PROJECT_000091,CLIENT_000091,DevOps Setup Project 92,DevOps Setup,Python/Django/MySQL,Discovery,Critical,2023-10-21,2024-01-04,,-4401.236773101518,15058.055472007434,133.8031436465003,8.701870288438773,0.9269260376818669,1.4724004113622986
PROJECT_000092,CLIENT_000092,API Development Project 93,API Development,React/Node.js/PostgreSQL,Completed,High,2024-10-06,2025-04-13,2025-05-06,271727.47944286186,259536.35262625766,1804.582719078278,1992.6469899208703,3.917911068222337,4.669312758508833
PROJECT_000093,CLIENT_000093,DevOps Setup Project 94,DevOps Setup,React/Node.js/PostgreSQL,Deployment,High,2024-10-18,2025-02-18,,32544.90555002713,61980.46712075631,301.2266563358363,212.98074861820493,2.3021657363516574,1.7092648879116186
PROJECT_000094,CLIENT_000094,CRM System Project 95,CRM System,Java/Spring/Oracle,Development,Medium,2023-06-13,2024-06-30,,130663.81682633242,160365.0448661111,941.8072626673331,1142.2930188410508,6.441132942446413,10.107369664935987
PROJECT_000095,CLIENT_000095,E-commerce Site Project 96,E-commerce Site,Python/Django/MySQL,Discovery,Low,2024-04-12,2024-11-23,,2046.113629786325,-17718.621005884765,31.15886071180354,63.70711935830489,4.885484219054744,4.91200870149946
PROJECT_000096,CLIENT_000096,API Development Project 97,API Development,React/Node.js/PostgreSQL,Planning,Critical,2023-09-14,2024-05-20,,242760.2776262874,307482.169125386,1533.42097786288,2094.7904886682786,3.983362277329541,7.074997193022274
PROJECT_000097,CLIENT_000097,Web Application Project 98,Web Application,React/Node.js/PostgreSQL,Discovery,Critical,2023-08-22,2024-07-26,,549177.2989036669,619753.5801428949,3757.215773369035,4173.79182470408,7.1030684248827685,10.130735367286881
PROJECT_000098,CLIENT_000098,Web Application Project 99,Web Application,React/Node.js/PostgreSQL,Completed,Critical,2024-02-13,2025-02-15,2025-01-26,114045.75753116961,126535.90176005897,658.2921342996096,745.5582351318052,6.802929524226081,10.209368042934674
PROJECT_000099,CLIENT_000099,API Development Project 100,API Development,Java/Spring/Oracle,Deployment,Low,2024-04-05,2025-03-12,,357462.4431216309,433636.4708943762,2427.666277586304,2860.5134807690447,5.090945359766398,9.25567431470239
PROJECT_000100,CLIENT_000100,CRM System Project 101,CRM System,React/Node.js/PostgreSQL,Completed,Critical,2024-06-24,2025-02-08,2025-04-03,8857.246539958911,11641.03484245394,108.49735079878307,68.12595472939215,6.0363686476334415,7.011980235422882
PROJECT_000101,CLIENT_000101,DevOps Setup Project 102,DevOps Setup,Python/Django/MySQL,Development,Critical,2024-03-24,2024-08-29,,4614.276847300708,231.25941287305977,87.76971019488623,111.48139733224126,3.085423922287085,4.041064749857708
PROJECT_000102,CLIENT_000102,E-commerce Site Project 103,E-commerce Site,Python/Django/MySQL,Discovery,Critical,2023-07-30,2024-08-23,,599.5033802017606,5248.953083891407,-58.29240992223592,197.03850979109689,8.002522461458984,9.727527348304534
PROJECT_000103,CLIENT_000103,E-commerce Site Project 104,E-commerce Site,Java/Spring/Oracle,Completed,High,2024-07-30,2024-12-12,2024-12-06,-3074.0483125617775,5071.397609564559,11.181255318183347,-58.27080891129228,4.025524418012629,3.5121303749618513
PROJECT_000104,CLIENT_000104,E-commerce Site Project 105,E-commerce Site,Java/Spring/Oracle,Planning,Medium,2023-12-15,2024-04-01,,94033.57945211756,77423.87820210666,663.6656952324472,525.5563631254204,1.776972176716012,3.0163856614857556
PROJECT_000105,CLIENT_000105,DevOps Setup Project 106,DevOps Setup,Python/Django/MySQL,Development,High,2024-11-23,2025-08-12,,218093.3550570538,212273.73583565265,1337.8676887241393,1137.7230183493407,6.057322466082336,5.401534598802501
PROJECT_000106,CLIENT_000106,CRM System Project 107,CRM System,Python/Django/MySQL,Development,High,2024-11-18,2025-06-06,,14373.987968306476,39178.31736839805,43.013238916297404,-35.41452450787838,4.038046246822836,5.996552600712079
PROJECT_000107,CLIENT_000107,API Development Project 108,API Development,Java/Spring/Oracle,Deployment,Low,2024-08-18,2025-05-14,,6799.084282319417,18122.02419259745,135.38492126965045,27.391652539116606,4.968870045365504,5.930541844510904
PROJECT_000108,CLIENT_000108,DevOps Setup Project 109,DevOps Setup,Java/Spring/Oracle,Planning,Medium,2024-06-06,2025-04-22,,15911.204158987759,29018.854532168014,89.20835537189473,-74.58995842446447,5.998162416573322,10.196143785883725
PROJECT_000109,CLIENT_000109,CRM System Project 110,CRM System,React/Node.js/PostgreSQL,Completed,Critical,2023-10-08,2024-02-10,2024-02-13,19918.209479585767,19310.74827822305,-68.94944000190401,162.60340074443897,3.0171149748350903,3.2352399477776763
PROJECT_000110,CLIENT_000110,API Development Project 111,API Development,Java/Spring/Oracle,Testing,Medium,2024-02-15,2024-08-01,,21595.638566472426,456.5136802738798,230.4720233243084,-127.75441883047472,3.9210245530526393,4.213253986941322
PROJECT_000111,CLIENT_000111,API Development Project 112,API Development,React/Node.js/PostgreSQL,Planning,Critical,2024-06-10,2025-04-06,,310621.559785932,319404.5276438706,2036.748801532828,1612.3450150280214,6.971110954556426,8.787892500526583
PROJECT_000112,CLIENT_000112,AI/ML Solution Project 113,AI/ML Solution,Python/Django/MySQL,Completed,Low,2025-02-02,2025-10-19,2025-12-03,452048.9467681761,448334.67152162094,3015.6135518188776,3791.696590681385,5.894519097198796,5.828996356699083
PROJECT_000113,CLIENT_000113,AI/ML Solution Project 114,AI/ML Solution,Python/Django/MySQL,Planning,Medium,2023-07-22,2023-11-12,,4993.015070606412,15885.106956554482,271.3942273914913,0.18286618330891002,3.099926866183361,2.5598606440265996
