assignment_id,project_id,member_id,role_on_project,hours_allocated,hours_logged,start_date,end_date
ASN_000024,PROJECT_000008,MEMBER_000012,Developer,21,57,2025-04-11,2025-09-08
ASN_000025,PROJECT_000008,MEMBER_000096,Lead,162,161,2025-04-11,2025-09-08
ASN_000026,PROJECT_000008,MEMBER_000123,Support,179,149,2025-04-11,2025-09-08
ASN_000027,PROJECT_000009,MEMBER_000059,Lead,79,240,2025-03-04,
ASN_000028,PROJECT_000009,MEMBER_000078,Support,184,40,2025-03-04,
ASN_000029,PROJECT_000009,MEMBER_000021,Lead,113,136,2025-03-04,
ASN_000030,PROJECT_000010,MEMBER_000125,Lead,38,108,2024-12-28,
ASN_000031,PROJECT_000010,MEMBER_000048,Lead,65,230,2024-12-28,
ASN_000032,PROJECT_000010,MEMBER_000053,Support,35,68,2024-12-28,
ASN_000033,PROJECT_000011,MEMBER_000044,Support,200,78,2024-09-28,
ASN_000034,PROJECT_000011,MEMBER_000126,Developer,92,55,2024-09-28,
ASN_000035,PROJECT_000011,MEMBER_000094,Lead,161,148,2024-09-28,
ASN_000036,PROJECT_000012,MEMBER_000061,Developer,113,120,2025-02-17,
ASN_000037,PROJECT_000012,MEMBER_000029,Developer,84,20,2025-02-17,
ASN_000038,PROJECT_000012,MEMBER_000002,Lead,63,16,2025-02-17,
ASN_000039,PROJECT_000013,MEMBER_000001,Developer,126,200,2024-05-22,2025-03-23
ASN_000040,PROJECT_000013,MEMBER_000087,Support,162,160,2024-05-22,2025-03-23
ASN_000041,PROJECT_000013,MEMBER_000041,Developer,117,84,2024-05-22,2025-03-23
ASN_000042,PROJECT_000014,MEMBER_000058,Support,137,85,2024-03-20,
ASN_000043,PROJECT_000014,MEMBER_000054,Developer,191,126,2024-03-20,
ASN_000044,PROJECT_000014,MEMBER_000057,Support,164,100,2024-03-20,
ASN_000045,PROJECT_000015,MEMBER_000115,Lead,115,12,2024-03-09,2024-10-08
ASN_000046,PROJECT_000015,MEMBER_000096,Developer,86,195,2024-03-09,2024-10-08
ASN_000047,PROJECT_000015,MEMBER_000044,Lead,77,215,2024-03-09,2024-10-08
ASN_000048,PROJECT_000016,MEMBER_000063,Support,129,104,2024-06-21,
ASN_000049,PROJECT_000016,MEMBER_000015,Lead,104,186,2024-06-21,
ASN_000050,PROJECT_000016,MEMBER_000026,Developer,159,235,2024-06-21,
ASN_000051,PROJECT_000017,MEMBER_000045,Support,124,150,2024-10-28,
ASN_000052,PROJECT_000017,MEMBER_000008,Lead,41,203,2024-10-28,
ASN_000053,PROJECT_000017,MEMBER_000027,Support,99,226,2024-10-28,
ASN_000054,PROJECT_000018,MEMBER_000016,Support,186,72,2024-02-28,
ASN_000055,PROJECT_000018,MEMBER_000035,Lead,31,81,2024-02-28,
ASN_000056,PROJECT_000018,MEMBER_000050,Support,60,99,2024-02-28,
ASN_000057,PROJECT_000019,MEMBER_000018,Lead,113,117,2023-07-16,
ASN_000058,PROJECT_000019,MEMBER_000130,Developer,122,22,2023-07-16,
ASN_000059,PROJECT_000019,MEMBER_000122,Developer,161,132,2023-07-16,
ASN_000060,PROJECT_000020,MEMBER_000043,Support,176,167,2024-07-25,
ASN_000061,PROJECT_000020,MEMBER_000034,Developer,170,19,2024-07-25,
ASN_000062,PROJECT_000020,MEMBER_000081,Developer,181,92,2024-07-25,
ASN_000063,PROJECT_000021,MEMBER_000076,Developer,145,186,2023-11-18,2024-05-29
ASN_000064,PROJECT_000021,MEMBER_000095,Developer,144,91,2023-11-18,2024-05-29
ASN_000065,PROJECT_000021,MEMBER_000037,Developer,66,160,2023-11-18,2024-05-29
ASN_000066,PROJECT_000022,MEMBER_000104,Lead,80,104,2024-03-15,
ASN_000067,PROJECT_000022,MEMBER_000036,Support,34,84,2024-03-15,
ASN_000068,PROJECT_000022,MEMBER_000119,Support,189,196,2024-03-15,
ASN_000069,PROJECT_000023,MEMBER_000007,Lead,144,141,2024-06-16,
ASN_000070,PROJECT_000023,MEMBER_000104,Developer,43,196,2024-06-16,
ASN_000071,PROJECT_000023,MEMBER_000056,Developer,200,225,2024-06-16,
ASN_000072,PROJECT_000024,MEMBER_000070,Developer,162,131,2024-07-14,2025-03-16
ASN_000073,PROJECT_000024,MEMBER_000085,Lead,190,106,2024-07-14,2025-03-16
ASN_000074,PROJECT_000024,MEMBER_000005,Lead,102,216,2024-07-14,2025-03-16
ASN_000075,PROJECT_000025,MEMBER_000069,Support,28,243,2025-02-13,2025-09-12
ASN_000076,PROJECT_000025,MEMBER_000027,Support,72,67,2025-02-13,2025-09-12
ASN_000077,PROJECT_000025,MEMBER_000034,Support,71,201,2025-02-13,2025-09-12
ASN_000078,PROJECT_000026,MEMBER_000079,Developer,39,165,2024-08-09,
ASN_000079,PROJECT_000026,MEMBER_000038,Lead,74,57,2024-08-09,
ASN_000080,PROJECT_000026,MEMBER_000015,Lead,68,134,2024-08-09,
ASN_000081,PROJECT_000027,MEMBER_000048,Developer,57,192,2025-02-26,2025-06-04
ASN_000082,PROJECT_000027,MEMBER_000114,Support,166,143,2025-02-26,2025-06-04
ASN_000083,PROJECT_000027,MEMBER_000092,Support,79,22,2025-02-26,2025-06-04
ASN_000084,PROJECT_000028,MEMBER_000120,Support,55,237,2024-02-06,
ASN_000085,PROJECT_000028,MEMBER_000027,Lead,50,33,2024-02-06,
ASN_000086,PROJECT_000028,MEMBER_000009,Support,121,74,2024-02-06,
ASN_000087,PROJECT_000029,MEMBER_000024,Lead,104,149,2025-03-24,
ASN_000088,PROJECT_000029,MEMBER_000022,Support,76,221,2025-03-24,
ASN_000089,PROJECT_000029,MEMBER_000106,Support,151,171,2025-03-24,
ASN_000090,PROJECT_000030,MEMBER_000046,Lead,69,89,2023-10-15,
ASN_000091,PROJECT_000030,MEMBER_000017,Developer,154,226,2023-10-15,
ASN_000092,PROJECT_000030,MEMBER_000004,Support,151,49,2023-10-15,
ASN_000093,PROJECT_000031,MEMBER_000116,Lead,141,182,2025-04-07,2025-09-19
ASN_000094,PROJECT_000031,MEMBER_000042,Lead,153,196,2025-04-07,2025-09-19
ASN_000095,PROJECT_000031,MEMBER_000021,Developer,156,170,2025-04-07,2025-09-19
ASN_000096,PROJECT_000032,MEMBER_000108,Support,142,92,2023-11-13,
ASN_000097,PROJECT_000032,MEMBER_000086,Lead,55,44,2023-11-13,
ASN_000098,PROJECT_000032,MEMBER_000039,Developer,32,247,2023-11-13,
ASN_000099,PROJECT_000033,MEMBER_000104,Developer,154,59,2025-03-15,
ASN_000100,PROJECT_000033,MEMBER_000051,Support,64,169,2025-03-15,
ASN_000101,PROJECT_000033,MEMBER_000019,Support,158,22,2025-03-15,
ASN_000102,PROJECT_000034,MEMBER_000119,Support,99,45,2023-10-29,
ASN_000103,PROJECT_000034,MEMBER_000069,Developer,196,130,2023-10-29,
ASN_000104,PROJECT_000034,MEMBER_000096,Lead,140,70,2023-10-29,
ASN_000105,PROJECT_000035,MEMBER_000092,Developer,166,155,2024-08-24,
ASN_000106,PROJECT_000035,MEMBER_000021,Developer,97,52,2024-08-24,
ASN_000107,PROJECT_000035,MEMBER_000057,Support,185,210,2024-08-24,
ASN_000108,PROJECT_000036,MEMBER_000015,Developer,35,174,2024-07-02,
ASN_000109,PROJECT_000036,MEMBER_000061,Developer,100,123,2024-07-02,
ASN_000110,PROJECT_000036,MEMBER_000131,Developer,97,39,2024-07-02,
ASN_000111,PROJECT_000037,MEMBER_000032,Developer,100,58,2023-09-08,
ASN_000112,PROJECT_000037,MEMBER_000117,Lead,133,237,2023-09-08,
ASN_000113,PROJECT_000037,MEMBER_000063,Support,149,211,2023-09-08,
ASN_000114,PROJECT_000038,MEMBER_000078,Support,83,189,2025-01-10,
ASN_000115,PROJECT_000038,MEMBER_000068,Support,148,28,2025-01-10,
ASN_000116,PROJECT_000038,MEMBER_000120,Developer,127,243,2025-01-10,
ASN_000117,PROJECT_000039,MEMBER_000006,Developer,84,29,2025-03-08,2025-11-15
ASN_000118,PROJECT_000039,MEMBER_000013,Support,181,22,2025-03-08,2025-11-15
ASN_000119,PROJECT_000039,MEMBER_000110,Lead,178,207,2025-03-08,2025-11-15
ASN_000120,PROJECT_000040,MEMBER_000001,Developer,143,43,2023-11-17,
ASN_000121,PROJECT_000040,MEMBER_000127,Support,45,120,2023-11-17,
ASN_000122,PROJECT_000040,MEMBER_000005,Support,109,156,2023-11-17,
ASN_000123,PROJECT_000041,MEMBER_000057,Lead,21,229,2024-03-10,
ASN_000124,PROJECT_000041,MEMBER_000071,Developer,184,15,2024-03-10,
ASN_000125,PROJECT_000041,MEMBER_000090,Lead,58,166,2024-03-10,
ASN_000126,PROJECT_000042,MEMBER_000085,Support,164,234,2024-02-16,
ASN_000127,PROJECT_000042,MEMBER_000087,Support,118,123,2024-02-16,
ASN_000128,PROJECT_000042,MEMBER_000027,Developer,193,173,2024-02-16,
ASN_000129,PROJECT_000043,MEMBER_000114,Lead,199,115,2024-04-11,
ASN_000130,PROJECT_000043,MEMBER_000128,Support,35,20,2024-04-11,
ASN_000131,PROJECT_000043,MEMBER_000066,Support,178,117,2024-04-11,
ASN_000132,PROJECT_000044,MEMBER_000097,Support,36,64,2024-02-10,
ASN_000133,PROJECT_000044,MEMBER_000102,Lead,50,11,2024-02-10,
ASN_000134,PROJECT_000044,MEMBER_000069,Support,104,242,2024-02-10,
ASN_000135,PROJECT_000045,MEMBER_000015,Developer,118,119,2025-01-15,
ASN_000136,PROJECT_000045,MEMBER_000079,Developer,100,149,2025-01-15,
ASN_000137,PROJECT_000045,MEMBER_000011,Support,100,63,2025-01-15,
ASN_000138,PROJECT_000046,MEMBER_000048,Support,152,51,2023-06-23,
ASN_000139,PROJECT_000046,MEMBER_000041,Support,93,48,2023-06-23,
ASN_000140,PROJECT_000046,MEMBER_000059,Lead,58,25,2023-06-23,
ASN_000141,PROJECT_000047,MEMBER_000105,Lead,118,57,2024-08-28,
ASN_000142,PROJECT_000047,MEMBER_000027,Developer,119,88,2024-08-28,
ASN_000143,PROJECT_000047,MEMBER_000097,Lead,166,49,2024-08-28,
ASN_000144,PROJECT_000048,MEMBER_000045,Lead,77,90,2025-01-27,
ASN_000145,PROJECT_000048,MEMBER_000123,Support,151,123,2025-01-27,
ASN_000146,PROJECT_000048,MEMBER_000009,Developer,111,152,2025-01-27,
ASN_000147,PROJECT_000049,MEMBER_000037,Support,77,159,2023-07-13,
ASN_000148,PROJECT_000049,MEMBER_000069,Lead,186,145,2023-07-13,
ASN_000149,PROJECT_000049,MEMBER_000059,Lead,176,250,2023-07-13,
ASN_000150,PROJECT_000050,MEMBER_000028,Developer,92,34,2024-03-23,
ASN_000151,PROJECT_000050,MEMBER_000010,Lead,109,162,2024-03-23,
ASN_000152,PROJECT_000050,MEMBER_000037,Lead,66,206,2024-03-23,
ASN_000153,PROJECT_000051,MEMBER_000125,Lead,128,136,2024-05-23,2025-04-16
ASN_000154,PROJECT_000051,MEMBER_000047,Developer,159,42,2024-05-23,2025-04-16
ASN_000155,PROJECT_000051,MEMBER_000120,Support,164,98,2024-05-23,2025-04-16
ASN_000156,PROJECT_000052,MEMBER_000065,Developer,25,109,2023-10-19,2024-06-05
ASN_000157,PROJECT_000052,MEMBER_000121,Lead,176,142,2023-10-19,2024-06-05
ASN_000158,PROJECT_000052,MEMBER_000052,Developer,73,174,2023-10-19,2024-06-05
ASN_000159,PROJECT_000053,MEMBER_000054,Developer,172,184,2025-01-23,
ASN_000160,PROJECT_000053,MEMBER_000014,Developer,144,18,2025-01-23,
ASN_000161,PROJECT_000053,MEMBER_000091,Lead,75,68,2025-01-23,
ASN_000162,PROJECT_000054,MEMBER_000078,Lead,178,232,2024-07-31,
ASN_000163,PROJECT_000054,MEMBER_000133,Lead,59,97,2024-07-31,
ASN_000164,PROJECT_000054,MEMBER_000020,Developer,112,53,2024-07-31,
ASN_000165,PROJECT_000055,MEMBER_000067,Lead,105,16,2023-08-28,
ASN_000166,PROJECT_000055,MEMBER_000022,Support,59,159,2023-08-28,
ASN_000167,PROJECT_000055,MEMBER_000055,Developer,94,195,2023-08-28,
ASN_000168,PROJECT_000056,MEMBER_000019,Developer,87,133,2025-01-17,
ASN_000169,PROJECT_000056,MEMBER_000012,Lead,176,93,2025-01-17,
ASN_000170,PROJECT_000056,MEMBER_000083,Lead,132,184,2025-01-17,
ASN_000171,PROJECT_000057,MEMBER_000073,Developer,36,169,2024-09-29,
ASN_000172,PROJECT_000057,MEMBER_000034,Developer,26,86,2024-09-29,
ASN_000173,PROJECT_000057,MEMBER_000074,Support,82,202,2024-09-29,
ASN_000174,PROJECT_000058,MEMBER_000047,Support,141,104,2023-08-31,
ASN_000175,PROJECT_000058,MEMBER_000065,Lead,167,44,2023-08-31,
ASN_000176,PROJECT_000058,MEMBER_000029,Support,80,196,2023-08-31,
ASN_000177,PROJECT_000059,MEMBER_000026,Developer,58,91,2024-06-14,
ASN_000178,PROJECT_000059,MEMBER_000045,Lead,198,68,2024-06-14,
ASN_000179,PROJECT_000059,MEMBER_000041,Support,88,169,2024-06-14,
ASN_000180,PROJECT_000060,MEMBER_000008,Support,170,44,2025-04-18,
ASN_000181,PROJECT_000060,MEMBER_000056,Lead,44,186,2025-04-18,
ASN_000182,PROJECT_000060,MEMBER_000104,Lead,155,115,2025-04-18,
ASN_000183,PROJECT_000061,MEMBER_000070,Support,77,124,2024-05-30,2024-10-24
ASN_000184,PROJECT_000061,MEMBER_000037,Support,119,206,2024-05-30,2024-10-24
ASN_000185,PROJECT_000061,MEMBER_000048,Developer,54,100,2024-05-30,2024-10-24
ASN_000186,PROJECT_000062,MEMBER_000041,Lead,194,184,2024-02-17,2024-06-20
ASN_000187,PROJECT_000062,MEMBER_000077,Support,57,85,2024-02-17,2024-06-20
ASN_000188,PROJECT_000062,MEMBER_000101,Lead,67,145,2024-02-17,2024-06-20
ASN_000189,PROJECT_000063,MEMBER_000029,Lead,105,16,2024-07-03,
ASN_000190,PROJECT_000063,MEMBER_000086,Lead,124,109,2024-07-03,
ASN_000191,PROJECT_000063,MEMBER_000108,Support,154,126,2024-07-03,
ASN_000192,PROJECT_000064,MEMBER_000019,Lead,26,124,2023-09-10,2024-05-09
ASN_000193,PROJECT_000064,MEMBER_000010,Support,22,43,2023-09-10,2024-05-09
ASN_000194,PROJECT_000064,MEMBER_000035,Lead,37,51,2023-09-10,2024-05-09
ASN_000195,PROJECT_000065,MEMBER_000083,Developer,31,129,2025-04-09,2026-04-05
ASN_000196,PROJECT_000065,MEMBER_000016,Lead,52,87,2025-04-09,2026-04-05
ASN_000197,PROJECT_000065,MEMBER_000127,Developer,167,111,2025-04-09,2026-04-05
ASN_000198,PROJECT_000066,MEMBER_000010,Support,188,15,2023-10-21,
ASN_000199,PROJECT_000066,MEMBER_000032,Support,59,196,2023-10-21,
ASN_000200,PROJECT_000066,MEMBER_000026,Lead,93,207,2023-10-21,
ASN_000201,PROJECT_000067,MEMBER_000014,Developer,77,147,2024-09-16,
ASN_000202,PROJECT_000067,MEMBER_000055,Lead,167,23,2024-09-16,
ASN_000203,PROJECT_000067,MEMBER_000003,Support,154,247,2024-09-16,
ASN_000204,PROJECT_000068,MEMBER_000029,Developer,21,70,2025-03-12,
ASN_000205,PROJECT_000068,MEMBER_000133,Lead,146,205,2025-03-12,
ASN_000206,PROJECT_000068,MEMBER_000096,Developer,194,164,2025-03-12,
ASN_000207,PROJECT_000069,MEMBER_000064,Developer,90,102,2025-01-13,
ASN_000208,PROJECT_000069,MEMBER_000062,Developer,200,166,2025-01-13,
ASN_000209,PROJECT_000069,MEMBER_000111,Lead,65,107,2025-01-13,
ASN_000210,PROJECT_000070,MEMBER_000116,Developer,64,184,2024-08-18,
ASN_000211,PROJECT_000070,MEMBER_000046,Lead,76,104,2024-08-18,
ASN_000212,PROJECT_000070,MEMBER_000013,Support,153,181,2024-08-18,
ASN_000213,PROJECT_000071,MEMBER_000077,Lead,131,30,2025-02-20,
ASN_000214,PROJECT_000071,MEMBER_000116,Lead,68,69,2025-02-20,
ASN_000215,PROJECT_000071,MEMBER_000008,Developer,116,250,2025-02-20,
ASN_000216,PROJECT_000072,MEMBER_000086,Lead,59,200,2025-01-31,2025-10-15
ASN_000217,PROJECT_000072,MEMBER_000008,Support,21,116,2025-01-31,2025-10-15
ASN_000218,PROJECT_000072,MEMBER_000061,Lead,180,91,2025-01-31,2025-10-15
ASN_000219,PROJECT_000073,MEMBER_000074,Lead,158,130,2024-02-19,
ASN_000220,PROJECT_000073,MEMBER_000037,Lead,86,201,2024-02-19,
ASN_000221,PROJECT_000073,MEMBER_000033,Support,92,67,2024-02-19,
ASN_000222,PROJECT_000074,MEMBER_000123,Lead,167,247,2025-01-05,2025-04-29
ASN_000223,PROJECT_000074,MEMBER_000003,Lead,52,44,2025-01-05,2025-04-29
ASN_000224,PROJECT_000074,MEMBER_000102,Developer,91,172,2025-01-05,2025-04-29
ASN_000225,PROJECT_000075,MEMBER_000081,Lead,75,69,2024-04-23,2025-05-27
ASN_000226,PROJECT_000075,MEMBER_000120,Developer,169,107,2024-04-23,2025-05-27
ASN_000227,PROJECT_000075,MEMBER_000065,Developer,35,103,2024-04-23,2025-05-27
ASN_000228,PROJECT_000076,MEMBER_000014,Support,148,117,2024-11-25,
ASN_000229,PROJECT_000076,MEMBER_000092,Support,116,43,2024-11-25,
ASN_000230,PROJECT_000076,MEMBER_000071,Support,110,145,2024-11-25,
ASN_000231,PROJECT_000077,MEMBER_000117,Support,143,126,2023-12-27,
ASN_000232,PROJECT_000077,MEMBER_000070,Developer,55,118,2023-12-27,
ASN_000233,PROJECT_000077,MEMBER_000100,Developer,121,70,2023-12-27,
ASN_000234,PROJECT_000078,MEMBER_000071,Lead,152,233,2024-05-26,
ASN_000235,PROJECT_000078,MEMBER_000044,Developer,110,27,2024-05-26,
ASN_000236,PROJECT_000078,MEMBER_000131,Developer,40,125,2024-05-26,
ASN_000237,PROJECT_000079,MEMBER_000060,Developer,125,15,2023-08-31,
ASN_000238,PROJECT_000079,MEMBER_000092,Support,150,230,2023-08-31,
ASN_000239,PROJECT_000079,MEMBER_000031,Support,172,223,2023-08-31,
ASN_000240,PROJECT_000080,MEMBER_000097,Support,177,115,2024-06-01,
ASN_000241,PROJECT_000080,MEMBER_000068,Support,129,82,2024-06-01,
ASN_000242,PROJECT_000080,MEMBER_000052,Support,133,179,2024-06-01,
ASN_000243,PROJECT_000081,MEMBER_000030,Developer,174,12,2024-06-16,
ASN_000244,PROJECT_000081,MEMBER_000007,Developer,28,185,2024-06-16,
ASN_000245,PROJECT_000081,MEMBER_000004,Developer,52,115,2024-06-16,
ASN_000246,PROJECT_000082,MEMBER_000021,Developer,82,153,2024-02-10,
ASN_000247,PROJECT_000082,MEMBER_000117,Lead,129,71,2024-02-10,
ASN_000248,PROJECT_000082,MEMBER_000010,Support,163,34,2024-02-10,
ASN_000249,PROJECT_000083,MEMBER_000121,Lead,73,246,2024-08-25,
ASN_000250,PROJECT_000083,MEMBER_000091,Developer,146,75,2024-08-25,
ASN_000251,PROJECT_000083,MEMBER_000081,Support,171,46,2024-08-25,
ASN_000252,PROJECT_000084,MEMBER_000076,Support,185,11,2024-10-15,
ASN_000253,PROJECT_000084,MEMBER_000041,Developer,158,156,2024-10-15,
ASN_000254,PROJECT_000084,MEMBER_000117,Developer,72,213,2024-10-15,
ASN_000255,PROJECT_000085,MEMBER_000047,Lead,47,155,2025-03-22,
ASN_000256,PROJECT_000085,MEMBER_000105,Lead,53,227,2025-03-22,
ASN_000257,PROJECT_000085,MEMBER_000003,Support,37,171,2025-03-22,
ASN_000258,PROJECT_000086,MEMBER_000023,Developer,171,60,2024-08-31,
ASN_000259,PROJECT_000086,MEMBER_000060,Lead,68,45,2024-08-31,
ASN_000260,PROJECT_000086,MEMBER_000048,Developer,127,132,2024-08-31,
ASN_000261,PROJECT_000087,MEMBER_000019,Support,166,153,2024-03-22,
ASN_000262,PROJECT_000087,MEMBER_000028,Developer,156,158,2024-03-22,
ASN_000263,PROJECT_000087,MEMBER_000006,Developer,77,37,2024-03-22,
ASN_000264,PROJECT_000088,MEMBER_000087,Developer,156,156,2024-06-21,
ASN_000265,PROJECT_000088,MEMBER_000040,Lead,120,204,2024-06-21,
ASN_000266,PROJECT_000088,MEMBER_000015,Developer,189,185,2024-06-21,
ASN_000267,PROJECT_000089,MEMBER_000034,Developer,160,209,2024-05-22,
ASN_000268,PROJECT_000089,MEMBER_000111,Developer,155,118,2024-05-22,
ASN_000269,PROJECT_000089,MEMBER_000069,Support,126,101,2024-05-22,
ASN_000270,PROJECT_000090,MEMBER_000049,Lead,60,32,2023-12-11,
ASN_000271,PROJECT_000090,MEMBER_000011,Support,55,176,2023-12-11,
ASN_000272,PROJECT_000090,MEMBER_000120,Support,154,85,2023-12-11,
ASN_000273,PROJECT_000091,MEMBER_000052,Support,177,197,2023-10-21,
ASN_000274,PROJECT_000091,MEMBER_000112,Support,158,115,2023-10-21,
ASN_000275,PROJECT_000091,MEMBER_000081,Support,131,80,2023-10-21,
ASN_000276,PROJECT_000092,MEMBER_000087,Lead,182,42,2024-10-06,2025-05-06
ASN_000277,PROJECT_000092,MEMBER_000011,Support,81,239,2024-10-06,2025-05-06
ASN_000278,PROJECT_000092,MEMBER_000015,Support,28,223,2024-10-06,2025-05-06
ASN_000279,PROJECT_000093,MEMBER_000090,Support,89,141,2024-10-18,
ASN_000280,PROJECT_000093,MEMBER_000074,Lead,77,180,2024-10-18,
ASN_000281,PROJECT_000093,MEMBER_000134,Lead,156,56,2024-10-18,
ASN_000282,PROJECT_000094,MEMBER_000069,Lead,112,131,2023-06-13,
ASN_000283,PROJECT_000094,MEMBER_000121,Support,121,72,2023-06-13,
ASN_000284,PROJECT_000094,MEMBER_000094,Developer,174,139,2023-06-13,
ASN_000285,PROJECT_000095,MEMBER_000032,Support,59,153,2024-04-12,
ASN_000286,PROJECT_000095,MEMBER_000095,Support,50,248,2024-04-12,
ASN_000287,PROJECT_000095,MEMBER_000097,Support,168,210,2024-04-12,
ASN_000288,PROJECT_000096,MEMBER_000095,Developer,173,46,2023-09-14,
ASN_000289,PROJECT_000096,MEMBER_000026,Lead,96,149,2023-09-14,
ASN_000290,PROJECT_000096,MEMBER_000059,Support,45,56,2023-09-14,
ASN_000291,PROJECT_000097,MEMBER_000020,Lead,38,133,2023-08-22,
ASN_000292,PROJECT_000097,MEMBER_000049,Lead,78,241,2023-08-22,
ASN_000293,PROJECT_000097,MEMBER_000074,Support,73,182,2023-08-22,
ASN_000294,PROJECT_000098,MEMBER_000041,Lead,32,36,2024-02-13,2025-01-26
ASN_000295,PROJECT_000098,MEMBER_000039,Lead,154,186,2024-02-13,2025-01-26
ASN_000296,PROJECT_000098,MEMBER_000033,Lead,54,150,2024-02-13,2025-01-26
ASN_000297,PROJECT_000099,MEMBER_000117,Support,23,55,2024-04-05,
ASN_000298,PROJECT_000099,MEMBER_000053,Support,117,72,2024-04-05,
ASN_000299,PROJECT_000099,MEMBER_000007,Lead,39,168,2024-04-05,
ASN_000300,PROJECT_000100,MEMBER_000127,Developer,71,112,2024-06-24,2025-04-03
ASN_000301,PROJECT_000100,MEMBER_000031,Developer,112,244,2024-06-24,2025-04-03
ASN_000302,PROJECT_000100,MEMBER_000069,Lead,157,135,2024-06-24,2025-04-03
ASN_000303,PROJECT_000101,MEMBER_000098,Lead,69,208,2024-03-24,
ASN_000304,PROJECT_000101,MEMBER_000016,Lead,33,200,2024-03-24,
ASN_000305,PROJECT_000101,MEMBER_000088,Support,199,111,2024-03-24,
ASN_000306,PROJECT_000102,MEMBER_000098,Lead,79,47,2023-07-30,
ASN_000307,PROJECT_000102,MEMBER_000115,Developer,190,217,2023-07-30,
ASN_000308,PROJECT_000102,MEMBER_000022,Developer,170,149,2023-07-30,
ASN_000309,PROJECT_000103,MEMBER_000133,Support,62,192,2024-07-30,2024-12-06
ASN_000310,PROJECT_000103,MEMBER_000060,Support,97,66,2024-07-30,2024-12-06
ASN_000311,PROJECT_000103,MEMBER_000098,Support,78,166,2024-07-30,2024-12-06
ASN_000312,PROJECT_000104,MEMBER_000101,Support,156,24,2023-12-15,
ASN_000313,PROJECT_000104,MEMBER_000083,Developer,55,217,2023-12-15,
ASN_000314,PROJECT_000104,MEMBER_000027,Developer,20,65,2023-12-15,
ASN_000315,PROJECT_000105,MEMBER_000054,Developer,175,153,2024-11-23,
ASN_000316,PROJECT_000105,MEMBER_000061,Lead,25,109,2024-11-23,
ASN_000317,PROJECT_000105,MEMBER_000090,Support,157,129,2024-11-23,
ASN_000318,PROJECT_000106,MEMBER_000078,Lead,63,42,2024-11-18,
ASN_000319,PROJECT_000106,MEMBER_000134,Support,70,226,2024-11-18,
ASN_000320,PROJECT_000106,MEMBER_000013,Developer,77,148,2024-11-18,
ASN_000321,PROJECT_000107,MEMBER_000074,Lead,157,127,2024-08-18,
ASN_000322,PROJECT_000107,MEMBER_000005,Developer,46,213,2024-08-18,
ASN_000323,PROJECT_000107,MEMBER_000013,Developer,35,244,2024-08-18,
ASN_000324,PROJECT_000108,MEMBER_000050,Lead,92,11,2024-06-06,
ASN_000325,PROJECT_000108,MEMBER_000057,Lead,169,11,2024-06-06,
ASN_000326,PROJECT_000108,MEMBER_000041,Lead,33,189,2024-06-06,
ASN_000327,PROJECT_000109,MEMBER_000130,Support,41,67,2023-10-08,2024-02-13
ASN_000328,PROJECT_000109,MEMBER_000025,Developer,145,98,2023-10-08,2024-02-13
ASN_000329,PROJECT_000109,MEMBER_000065,Developer,83,69,2023-10-08,2024-02-13
ASN_000330,PROJECT_000110,MEMBER_000097,Lead,46,41,2024-02-15,
